,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90,passAccuracy,scoreGoalScoring,scoreAssisting,scorePassing,scoreDefending,scoreDuels,scoreGoalkeeping,scoreRaw,scoreFinal,playerProfile
14,14,Defender,2. Bundesliga,R. Ziegele,SSV Jahn Regensburg,31,1444,0,10.0,5,1,18,77,16,33,1,69,487,331,142,14,1,5,0.0,0.06,0.0,1,0.06,0.62,0.31,4.3,30.35,20.63,8.85,0.87,0.06,0.31,1.12,4.8,1.0,2.06,0.06,0.0,67.97,77.96,43.45,44.7,53.68,55.06,,52.42,46.04,Centerback
15,15,Defender,2. Bundesliga,A. Donkor,FC Schalke 04,34,811,1,12.0,4,0,13,17,15,10,6,40,382,301,27,32,4,11,0.0,0.0,0.11,1,0.11,1.33,0.44,4.44,42.39,33.4,3.0,3.55,0.44,1.22,1.44,1.89,1.66,1.11,0.67,0.0,78.8,50.08,88.31,48.21,54.77,39.24,,52.69,47.56,Fullback
16,16,Defender,2. Bundesliga,C. Kobald,Karlsruher SC,25,1318,0,6.0,3,2,19,76,11,22,2,55,688,573,114,6,1,4,0.0,0.14,0.0,2,0.14,0.41,0.2,3.76,46.98,39.13,7.78,0.41,0.07,0.27,1.3,5.19,0.75,1.5,0.14,0.0,83.28,87.36,43.19,64.18,51.43,42.59,,52.74,47.87,Centerback
17,17,Defender,2. Bundesliga,F. Götze,SC Paderborn 07,30,2642,2,13.0,4,3,35,133,22,66,1,142,1759,1584,143,6,3,12,0.0,0.1,0.07,5,0.17,0.44,0.14,4.84,59.92,53.96,4.87,0.2,0.1,0.41,1.19,4.53,0.75,2.25,0.03,0.0,90.05,77.64,72.45,67.26,46.06,63.14,,58.79,66.77,Centerback
18,18,Defender,2. Bundesliga,T. Christopher Oberdorf,Fortuna Düsseldorf,33,2961,4,19.0,7,2,59,166,42,45,8,121,1984,1666,275,45,4,13,0.0,0.06,0.12,6,0.18,0.58,0.21,3.68,60.3,50.64,8.36,1.37,0.12,0.4,1.79,5.05,1.28,1.37,0.24,0.0,83.97,74.66,77.87,71.88,70.95,39.85,,64.23,82.01,Centerback
19,19,Defender,2. Bundesliga,A. Vukotić,Darmstadt 98,32,2847,2,35.0,9,3,53,210,31,108,3,204,1767,1483,282,6,5,7,0.0,0.09,0.06,5,0.16,1.11,0.28,6.45,55.86,46.88,8.91,0.19,0.16,0.22,1.68,6.64,0.98,3.41,0.09,0.0,83.93,83.03,68.7,66.43,68.19,86.83,,73.29,98.48,Centerback
20,20,Defender,2. Bundesliga,R. Schallenberg,FC Schalke 04,31,2630,1,17.0,8,3,62,119,57,70,2,159,1562,1376,161,6,1,13,0.0,0.1,0.03,4,0.14,0.58,0.27,5.44,53.45,47.09,5.51,0.21,0.03,0.44,2.12,4.07,1.95,2.4,0.07,0.0,88.09,84.59,63.1,67.72,76.68,69.66,,72.17,96.95,Centerback
21,21,Defender,2. Bundesliga,B. Tomiak,Hannover 96,29,2181,2,18.0,9,4,46,84,26,51,2,132,1253,1081,109,15,2,10,0.0,0.17,0.08,6,0.25,0.74,0.37,5.45,51.71,44.61,4.5,0.62,0.08,0.41,1.9,3.47,1.07,2.1,0.08,0.0,86.27,94.98,72.77,63.19,59.79,66.89,,65.3,85.98,Centerback
22,22,Defender,2. Bundesliga,S. López,Darmstadt 98,31,2425,3,11.0,7,3,44,51,13,10,2,73,1153,967,132,165,6,49,0.0,0.11,0.11,6,0.22,0.41,0.26,2.71,42.79,35.89,4.9,6.12,0.22,1.82,1.63,1.89,0.48,0.37,0.07,0.0,83.87,86.11,88.49,67.61,33.43,15.55,,43.94,22.87,Fullback
24,24,Defender,2. Bundesliga,M. Hoffmeier,SC Paderborn 07,29,1385,0,10.0,2,0,23,46,9,9,6,65,813,699,114,15,0,8,0.0,0.0,0.0,0,0.0,0.65,0.13,4.22,52.83,45.42,7.41,0.97,0.0,0.52,1.49,2.99,0.58,0.58,0.39,0.0,85.98,39.24,39.8,73.32,38.74,28.48,,43.22,21.34,Centerback
25,25,Defender,2. Bundesliga,V. Lunddal,Fortuna Düsseldorf,26,1331,0,9.0,3,0,13,34,7,14,2,52,553,463,48,35,1,15,0.0,0.0,0.0,0,0.0,0.61,0.2,3.52,37.39,31.31,3.25,2.37,0.07,1.01,0.88,2.3,0.47,0.95,0.14,0.0,83.73,43.72,52.26,57.7,24.04,27.84,,35.53,14.63,Fullback
26,26,Defender,2. Bundesliga,F. Nürnberger,Darmstadt 98,28,2148,1,32.0,10,1,49,24,27,8,11,97,1151,991,103,99,5,39,0.0,0.04,0.04,2,0.08,1.34,0.42,4.06,48.23,41.52,4.32,4.15,0.21,1.63,2.05,1.01,1.13,0.34,0.46,0.0,86.1,75.52,79.94,69.97,51.09,24.85,,52.41,45.73,Fullback
28,28,Defender,2. Bundesliga,D. Elfadli,Hamburger SV,31,2653,3,18.0,6,3,44,134,52,52,3,122,1558,1452,76,6,0,15,0.0,0.1,0.1,6,0.2,0.61,0.2,4.14,52.85,49.26,2.58,0.2,0.0,0.51,1.49,4.55,1.76,1.76,0.1,0.0,93.2,81.39,67.45,64.14,70.75,50.82,,64.65,82.32,Centerback
30,30,Defender,2. Bundesliga,L. Curda,SC Paderborn 07,31,1221,0,15.0,6,1,28,50,19,18,1,65,831,668,137,35,1,6,0.0,0.07,0.0,1,0.07,1.11,0.44,4.79,61.25,49.24,10.1,2.58,0.07,0.44,2.06,3.69,1.4,1.33,0.07,0.0,80.39,82.3,46.55,67.53,69.52,49.73,,62.52,78.05,Centerback
31,31,Defender,2. Bundesliga,M. Beifus,Karlsruher SC,33,2671,0,12.0,1,0,36,110,48,54,2,109,1634,1450,235,1,0,2,0.0,0.0,0.0,0,0.0,0.4,0.03,3.67,55.06,48.86,7.92,0.03,0.0,0.07,1.21,3.71,1.62,1.82,0.07,0.0,88.74,33.2,30.24,72.94,60.85,47.26,,55.42,57.01,Centerback
32,32,Defender,2. Bundesliga,D. Herold,Karlsruher SC,33,2044,1,10.0,3,0,54,55,16,34,3,144,800,610,76,157,5,29,0.0,0.0,0.04,1,0.04,0.44,0.13,6.34,35.23,26.86,3.35,6.91,0.22,1.28,2.38,2.42,0.7,1.5,0.13,0.0,76.25,39.24,79.08,47.56,48.0,64.12,,54.61,53.96,Fullback
35,35,Defender,2. Bundesliga,A. Gantenbein,FC Schalke 04,25,965,2,9.0,2,1,29,30,16,14,2,63,401,323,27,26,4,16,0.0,0.09,0.19,3,0.28,0.84,0.19,5.88,37.4,30.12,2.52,2.42,0.37,1.49,2.7,2.8,1.49,1.31,0.19,0.0,80.55,78.51,92.49,48.78,69.25,58.41,,65.23,85.67,Fullback
37,37,Defender,2. Bundesliga,B. Ezeh,Hannover 96,21,554,1,3.0,0,0,8,14,10,10,1,28,169,122,12,36,1,9,0.0,0.0,0.16,1,0.16,0.49,0.0,4.55,27.45,19.82,1.95,5.85,0.16,1.46,1.3,2.27,1.62,1.62,0.16,0.0,72.19,27.62,89.82,38.19,53.51,52.01,,52.41,45.43,Fullback
40,40,Defender,2. Bundesliga,W. Mikelbrencis,Hamburger SV,28,1666,2,17.0,6,0,38,50,12,6,2,70,817,667,91,57,8,22,0.0,0.0,0.11,2,0.11,0.92,0.32,3.78,44.14,36.03,4.92,3.08,0.43,1.19,2.05,2.7,0.65,0.32,0.11,0.0,81.64,48.2,87.83,58.61,45.11,21.46,,46.33,27.13,Fullback
41,41,Defender,2. Bundesliga,C. Brackelmann,SC Paderborn 07,23,1688,0,27.0,7,3,25,123,25,54,6,89,1163,959,217,9,0,6,0.0,0.16,0.0,3,0.16,1.44,0.37,4.75,62.01,51.13,11.57,0.48,0.0,0.32,1.33,6.56,1.33,2.88,0.32,0.0,82.46,94.56,36.41,67.68,71.15,69.45,,67.73,90.85,Centerback
42,42,Defender,2. Bundesliga,F. Gruber,1. FC Nürnberg,13,660,0,3.0,1,1,8,47,9,24,2,35,412,357,37,1,0,1,0.0,0.14,0.0,1,0.14,0.41,0.14,4.77,56.18,48.68,5.05,0.14,0.0,0.14,1.09,6.41,1.23,3.27,0.27,0.0,86.65,83.61,31.53,62.08,64.36,73.6,,63.89,81.1,Centerback
44,44,Defender,2. Bundesliga,T. Lasse Scheller,SC Paderborn 07,32,2291,0,14.0,5,1,43,81,14,29,4,107,1385,1230,154,10,0,9,0.0,0.04,0.0,1,0.04,0.55,0.2,4.2,54.41,48.32,6.05,0.39,0.0,0.35,1.69,3.18,0.55,1.14,0.16,0.0,88.81,69.44,36.91,71.8,41.91,37.87,,47.75,31.1,Centerback
53,53,Defender,2. Bundesliga,L. Wurm,SSV Jahn Regensburg,24,1777,0,12.0,4,1,44,100,31,45,4,114,663,509,127,8,1,6,0.0,0.05,0.0,1,0.05,0.61,0.2,5.77,33.58,25.78,6.43,0.41,0.05,0.3,2.23,5.06,1.57,2.28,0.2,0.0,76.77,71.68,42.76,46.3,80.02,71.1,,66.9,89.94,Centerback
57,57,Defender,2. Bundesliga,J. Pauli,SG Dynamo Dresden,21,1213,0,6.0,0,0,27,38,16,14,4,51,790,703,57,3,1,2,0.0,0.0,0.0,0,0.0,0.45,0.0,3.78,58.62,52.16,4.23,0.22,0.07,0.15,2.0,2.82,1.19,1.04,0.3,0.0,88.99,27.62,39.69,64.86,59.33,32.26,,50.12,39.94,Centerback
59,59,Forward,2. Bundesliga,A. Grimaldi,1. FC Nürnberg,29,1093,3,57.0,22,8,6,17,1,70,10,100,228,157,6,4,4,21,0.0,0.66,0.25,11,0.91,4.69,1.81,8.23,18.77,12.93,0.49,0.33,0.33,1.73,0.49,1.4,0.08,5.76,0.82,0.0,68.86,94.14,85.97,40.97,41.88,90.47,,80.73,97.91,Target Man
60,60,Forward,2. Bundesliga,H. Nielsen,Hannover 96,31,1399,3,39.0,10,2,26,27,3,66,12,121,342,233,9,6,4,18,0.0,0.13,0.19,5,0.32,2.51,0.64,7.78,22.0,14.99,0.58,0.39,0.26,1.16,1.67,1.74,0.19,4.25,0.77,0.0,68.13,47.59,76.44,41.02,74.18,85.13,,60.34,64.92,Target Man
61,61,Forward,2. Bundesliga,A. Voglsammer,F.C. Hansa Rostock,33,958,1,27.0,10,3,6,13,2,17,8,30,204,135,10,13,1,13,0.0,0.28,0.09,4,0.38,2.54,0.94,2.82,19.16,12.68,0.94,1.22,0.09,1.22,0.56,1.22,0.19,1.6,0.75,0.0,66.18,65.34,62.38,50.38,48.52,33.82,,58.22,62.83,Target Man
62,62,Forward,2. Bundesliga,B. Zivzivadze,1. FC Heidenheim,17,1463,3,56.0,18,12,15,12,8,26,17,88,313,238,14,5,6,16,0.0,0.74,0.18,15,0.92,3.44,1.11,5.41,19.25,14.64,0.86,0.31,0.37,0.98,0.92,0.74,0.49,1.6,1.05,0.0,76.04,88.06,74.58,53.17,69.71,56.44,,74.7,93.19,Target Man
63,63,Forward,2. Bundesliga,K. Karaman,FC Schalke 04,29,2492,4,84.0,29,13,13,16,5,54,27,151,760,603,43,7,4,46,0.0,0.47,0.14,17,0.61,3.03,1.05,5.45,27.45,21.78,1.55,0.25,0.14,1.66,0.47,0.58,0.18,1.95,0.98,0.0,79.34,79.58,74.45,61.15,43.91,61.1,,71.65,90.58,Target Man
64,64,Forward,2. Bundesliga,R. Glatzel,Hamburger SV,15,677,1,29.0,16,10,6,12,2,13,4,40,120,94,5,1,1,11,0.0,1.33,0.13,11,1.46,3.86,2.13,5.32,15.95,12.5,0.66,0.13,0.13,1.46,0.8,1.6,0.27,1.73,0.53,0.0,78.33,98.85,71.18,52.08,61.14,57.91,,77.55,96.34,Target Man
65,65,Forward,2. Bundesliga,S. Michel,SC Paderborn 07,27,1431,2,43.0,9,4,13,20,3,23,13,59,323,216,17,42,7,20,0.0,0.25,0.13,6,0.38,2.7,0.57,3.71,20.31,13.58,1.07,2.64,0.44,1.26,0.82,1.26,0.19,1.45,0.82,0.0,66.87,52.83,75.16,57.98,57.12,38.64,,59.1,63.87,Creative Forward
66,66,Forward,2. Bundesliga,F. Schleusener,Karlsruher SC,30,2172,1,44.0,20,6,18,16,6,34,9,87,377,270,10,28,1,22,0.0,0.25,0.04,7,0.29,1.82,0.83,3.6,15.62,11.19,0.41,1.16,0.04,0.91,0.75,0.66,0.25,1.41,0.37,0.0,71.62,59.42,51.26,54.14,55.43,37.38,,53.78,53.4,Target Man
67,67,Forward,2. Bundesliga,C. Kühlwetter,SSV Jahn Regensburg,31,2357,0,49.0,9,3,50,38,25,43,19,154,628,435,113,26,1,20,0.0,0.11,0.0,3,0.11,1.87,0.34,5.88,23.98,16.61,4.31,0.99,0.04,0.76,1.91,1.45,0.95,1.64,0.73,0.0,69.27,39.01,35.39,61.47,88.56,62.41,,46.11,37.17,Target Man
69,69,Forward,2. Bundesliga,J. Dompé,Hamburger SV,32,2402,12,59.0,27,9,11,9,2,1,11,113,808,686,18,184,21,69,0.0,0.34,0.45,21,0.79,2.21,1.01,4.23,30.27,25.7,0.67,6.89,0.79,2.59,0.41,0.34,0.07,0.04,0.41,0.0,84.9,71.52,96.81,83.32,36.7,32.46,,75.23,94.24,Creative Forward
70,70,Forward,2. Bundesliga,L. Marseiler,Darmstadt 98,32,1429,5,20.0,6,3,23,12,9,11,6,108,326,213,27,85,11,37,0.0,0.19,0.31,8,0.5,1.26,0.38,6.8,20.53,13.41,1.7,5.35,0.69,2.33,1.45,0.76,0.57,0.69,0.38,0.0,65.34,45.08,93.59,61.57,79.25,60.0,,65.31,78.01,Creative Forward
71,71,Forward,2. Bundesliga,I. Lidberg,Darmstadt 98,28,2229,5,63.0,32,14,9,8,3,54,10,109,414,296,10,19,3,23,0.0,0.57,0.2,19,0.77,2.54,1.29,4.4,16.72,11.95,0.4,0.77,0.12,0.93,0.36,0.32,0.12,2.18,0.4,0.0,71.5,89.53,68.38,49.83,36.36,52.2,,70.84,88.48,Target Man
75,75,Forward,2. Bundesliga,M. Kaars,FC St. Pauli,27,2428,3,61.0,32,12,8,12,6,15,10,37,361,296,11,13,3,20,0.0,0.44,0.11,15,0.56,2.26,1.19,1.37,13.38,10.97,0.41,0.48,0.11,0.74,0.3,0.44,0.22,0.56,0.37,0.0,81.99,81.83,56.7,61.16,38.85,22.09,,63.07,71.73,Target Man
76,76,Forward,2. Bundesliga,M. Sylla,FC Schalke 04,27,2216,0,59.0,31,16,10,7,3,47,10,83,380,281,18,22,1,21,0.0,0.65,0.0,16,0.65,2.4,1.26,3.37,15.43,11.41,0.73,0.89,0.04,0.85,0.41,0.28,0.12,1.91,0.41,0.0,73.95,90.47,36.57,58.01,38.93,39.9,,61.8,69.11,Target Man
79,79,Forward,2. Bundesliga,F. Hornby,Darmstadt 98,30,1932,2,72.0,29,12,15,31,4,64,18,117,511,382,45,14,3,26,0.0,0.56,0.09,14,0.65,3.35,1.35,5.45,23.8,17.8,2.1,0.65,0.14,1.21,0.7,1.44,0.19,2.98,0.84,0.0,74.76,89.84,63.56,63.42,51.54,65.71,,73.67,92.67,Target Man
80,80,Forward,2. Bundesliga,M. Kaufmann,1. FC Heidenheim,15,834,1,14.0,4,1,7,7,2,32,1,68,196,122,21,10,4,13,0.0,0.11,0.11,2,0.22,1.51,0.43,7.34,21.15,13.17,2.27,1.08,0.43,1.4,0.76,0.76,0.22,3.45,0.11,0.0,62.24,41.31,74.06,49.4,54.84,80.73,,56.97,60.21,Target Man
82,82,Forward,2. Bundesliga,F. Bilbija,SC Paderborn 07,32,2496,7,59.0,32,9,37,18,16,32,9,138,552,451,17,20,7,27,0.0,0.32,0.25,16,0.58,2.13,1.15,4.98,19.9,16.26,0.61,0.72,0.25,0.97,1.33,0.65,0.58,1.15,0.32,0.0,81.7,74.5,75.39,64.95,77.67,50.79,,71.12,89.53,Target Man
83,83,Forward,2. Bundesliga,R. Philippe,Hamburger SV,35,2934,5,91.0,40,14,18,12,7,17,23,104,576,405,28,112,8,64,0.0,0.43,0.15,19,0.58,2.79,1.23,3.19,17.67,12.42,0.86,3.44,0.25,1.96,0.55,0.37,0.21,0.52,0.71,0.0,70.31,82.36,79.61,61.6,46.77,26.7,,71.07,89.01,Creative Forward
84,84,Forward,2. Bundesliga,F. Lakenmacher,Darmstadt 98,34,880,4,21.0,11,1,10,8,1,26,3,57,253,178,11,5,2,15,0.0,0.1,0.41,5,0.51,2.15,1.12,5.83,25.87,18.2,1.12,0.51,0.2,1.53,1.02,0.82,0.1,2.66,0.31,0.0,70.36,58.01,86.91,51.66,57.87,67.96,,66.72,81.68,Target Man
85,85,Forward,2. Bundesliga,R. Yeboah Königsdörffer,Hamburger SV,32,1691,2,66.0,29,14,6,23,7,31,19,74,368,287,17,21,4,17,0.0,0.75,0.11,16,0.85,3.51,1.54,3.94,19.59,15.27,0.9,1.12,0.21,0.9,0.32,1.22,0.37,1.65,1.01,0.0,77.99,95.18,62.2,65.98,46.99,43.61,,73.34,92.15,Target Man
87,87,Forward,2. Bundesliga,D. Yokota,Hannover 96,26,1755,2,35.0,11,4,26,7,9,4,13,124,675,543,36,32,7,42,0.0,0.21,0.1,6,0.31,1.79,0.56,6.36,34.62,27.85,1.85,1.64,0.36,2.15,1.33,0.36,0.46,0.21,0.67,0.0,80.44,50.31,76.15,76.94,74.79,52.51,,63.5,73.82,Creative Forward
89,89,Forward,2. Bundesliga,D. Downs,Hamburger SV,29,1726,2,56.0,23,9,9,8,2,34,13,57,206,144,4,8,5,14,0.0,0.47,0.1,11,0.57,2.92,1.2,2.97,10.74,7.51,0.21,0.42,0.26,0.73,0.47,0.42,0.1,1.77,0.68,0.0,69.9,84.08,58.93,41.69,39.91,38.01,,63.36,73.3,Target Man
92,92,Forward,2. Bundesliga,F. Baldé,Hamburger SV,25,676,3,9.0,4,1,11,12,2,8,2,33,167,137,11,30,5,15,0.0,0.13,0.4,4,0.53,1.2,0.53,4.39,22.23,18.24,1.46,3.99,0.67,2.0,1.46,1.6,0.27,1.07,0.27,0.0,82.04,44.76,93.59,83.35,74.18,43.35,,66.53,81.15,Creative Forward
100,100,Goalkeeper,2. Bundesliga,D. Heuer Fernandes,Hamburger SV,31,2790,0,0.0,0,0,0,28,1,6,0,10,1351,1157,351,0,0,1,77.0,0.0,0.0,0,0.0,0.0,0.0,0.32,43.58,37.32,11.32,0.0,0.0,0.03,0.0,0.9,0.03,0.19,0.0,2.48,85.64,,,,,,56.26,39.38,54.78,All-round Goalkeeper
101,101,Goalkeeper,2. Bundesliga,M. Schuhen,Darmstadt 98,34,3051,0,0.0,0,0,1,23,1,3,0,6,1098,836,478,0,0,0,103.0,0.0,0.0,0,0.0,0.0,0.0,0.18,32.39,24.66,14.1,0.0,0.0,0.0,0.03,0.68,0.03,0.09,0.0,3.04,76.14,,,,,,69.26,48.48,72.17,All-round Goalkeeper
105,105,Goalkeeper,2. Bundesliga,J. Pollersbeck,SSV Jahn Regensburg,29,900,0,0.0,0,0,0,5,0,4,0,5,327,175,250,0,0,0,37.0,0.0,0.0,0,0.0,0.0,0.0,0.5,32.7,17.5,25.0,0.0,0.0,0.0,0.0,0.5,0.0,0.4,0.0,3.7,53.52,,,,,,87.61,61.33,94.78,Shot Stopper
107,107,Goalkeeper,2. Bundesliga,M. Schubert,SC Paderborn 07,33,1052,0,0.0,0,0,0,14,0,1,0,1,345,253,147,0,0,0,29.0,0.0,0.0,0,0.0,0.0,0.0,0.09,29.52,21.64,12.58,0.0,0.0,0.0,0.0,1.2,0.0,0.09,0.0,2.48,73.33,,,,,,54.04,37.83,50.0,All-round Goalkeeper
108,108,Goalkeeper,2. Bundesliga,F. Kastenmeier,Fortuna Düsseldorf,34,3051,0,0.0,0,0,0,44,0,14,0,19,1550,1217,644,0,1,4,127.0,0.0,0.0,0,0.0,0.0,0.0,0.56,45.72,35.9,19.0,0.0,0.03,0.12,0.0,1.3,0.0,0.41,0.0,3.75,78.52,,,,,,89.74,62.82,96.96,Shot Stopper
110,110,Goalkeeper,2. Bundesliga,L. Grill,SG Dynamo Dresden,32,959,0,0.0,0,0,0,11,1,3,0,3,361,219,203,0,0,0,25.0,0.0,0.0,0,0.0,0.0,0.0,0.28,33.88,20.55,19.05,0.0,0.0,0.0,0.0,1.03,0.09,0.28,0.0,2.35,60.66,,,,,,55.91,39.14,53.91,Shot Stopper
112,112,Goalkeeper,2. Bundesliga,F. Gebhardt,SSV Jahn Regensburg,33,2150,0,0.0,0,0,0,24,0,5,0,6,788,526,444,0,0,0,68.0,0.0,0.0,0,0.0,0.0,0.0,0.25,32.99,22.02,18.59,0.0,0.0,0.0,0.0,1.0,0.0,0.21,0.0,2.85,66.75,,,,,,65.35,45.74,65.22,Shot Stopper
114,114,Goalkeeper,2. Bundesliga,J. Reichert,1. FC Nürnberg,32,2790,0,0.0,0,0,0,33,0,15,0,15,1027,827,356,0,0,0,99.0,0.0,0.0,0,0.0,0.0,0.0,0.48,33.13,26.68,11.48,0.0,0.0,0.0,0.0,1.06,0.0,0.48,0.0,3.19,80.53,,,,,,84.09,58.86,91.3,All-round Goalkeeper
119,119,Midfielder,2. Bundesliga,D. Soares,1. FC Nürnberg,31,1514,2,15.0,1,1,51,31,26,13,7,89,759,604,83,33,5,16,0.0,0.06,0.12,3,0.18,0.89,0.06,5.29,45.12,35.9,4.93,1.96,0.3,0.95,3.03,1.84,1.55,0.77,0.42,0.0,79.58,45.17,67.76,56.7,84.65,53.79,,62.89,86.17,Defensive Midfielder
120,120,Midfielder,2. Bundesliga,A. Geipl,SSV Jahn Regensburg,31,1744,0,13.0,2,0,39,30,31,15,4,72,556,412,91,77,1,24,0.0,0.0,0.0,0,0.0,0.67,0.1,3.72,28.69,21.26,4.7,3.97,0.05,1.24,2.01,1.55,1.6,0.77,0.21,0.0,74.1,29.37,44.69,54.12,72.94,35.32,,49.0,34.58,Defensive Midfielder
121,121,Midfielder,2. Bundesliga,R. Krausse,SV Sandhausen,31,1860,0,21.0,3,0,48,38,16,28,4,106,657,511,88,7,1,10,0.0,0.0,0.0,0,0.0,1.02,0.15,5.13,31.79,24.73,4.26,0.34,0.05,0.48,2.32,1.84,0.77,1.35,0.19,0.0,77.78,31.58,30.32,41.79,68.54,63.15,,45.94,27.38,Defensive Midfielder
122,122,Midfielder,2. Bundesliga,J. Meffert,Holstein Kiel,29,2375,2,8.0,0,0,60,58,25,31,4,112,1419,1310,51,3,2,9,0.0,0.0,0.08,2,0.08,0.3,0.0,4.24,53.77,49.64,1.93,0.11,0.08,0.34,2.27,2.2,0.95,1.17,0.15,0.0,92.32,20.62,45.06,55.07,73.96,48.31,,50.17,39.48,Defensive Midfielder
