,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90,xgPer90,npxgPer90,xaPer90,passAccuracy,scoreGoalScoring,scoreAssisting,scorePassing,scoreDefending,scoreDuels,scoreGoalkeeping,scoreRaw,scoreFinal,playerProfile
11,181,Defender,Bundesliga,N. Süle,Borussia Dortmund,21,1059,0,9.0,2,0,0.63,0.63,0.35,14,45,4,12,2,31,927,862,60,1,0,3,0.0,0.0,0.0,0,0.0,0.76,0.17,2.63,78.78,73.26,5.1,0.08,0.0,0.25,1.19,3.82,0.34,1.02,0.17,0.0,0.05,0.05,0.03,92.99,66.32,40.13,70.07,33.63,24.99,,41.04,17.75,Centerback
12,182,Defender,Bundesliga,K. Akpoguma,TSG Hoffenheim,34,2221,0,5.0,1,0,0.1,0.1,0.6,54,108,29,48,2,133,1339,1181,142,12,0,7,0.0,0.0,0.0,0,0.0,0.2,0.04,5.39,54.26,47.86,5.75,0.49,0.0,0.28,2.19,4.38,1.18,1.95,0.08,0.0,0.0,0.0,0.02,88.2,17.17,34.7,67.12,69.31,68.71,,62.65,82.01,Centerback
13,183,Defender,Bundesliga,J. Tah,FC Bayern München,33,2970,0,24.0,7,3,1.12,1.12,1.84,19,155,36,77,8,104,2295,2137,143,6,1,5,0.0,0.09,0.0,3,0.09,0.73,0.21,3.15,69.55,64.76,4.33,0.18,0.03,0.15,0.58,4.7,1.09,2.33,0.24,0.0,0.03,0.03,0.06,93.12,55.67,53.34,68.91,50.49,53.45,,55.46,56.95,Centerback
14,184,Defender,Bundesliga,R. Guerreiro,FC Bayern München,32,1581,3,21.0,11,4,2.86,2.86,4.74,19,18,10,8,4,44,1231,1108,24,27,9,27,0.0,0.23,0.17,7,0.4,1.2,0.63,2.5,70.08,63.07,1.37,1.54,0.51,1.54,1.08,1.02,0.57,0.46,0.23,0.0,0.16,0.16,0.27,90.01,98.33,97.82,61.74,19.09,14.24,,38.24,14.03,Fullback
15,185,Defender,Bundesliga,M. Wittek,VfL Bochum 1848,32,2641,0,41.0,7,0,1.35,1.35,6.11,61,75,27,24,13,130,1054,782,151,162,8,47,0.0,0.0,0.0,0,0.0,1.4,0.24,4.43,35.92,26.65,5.15,5.52,0.27,1.6,2.08,2.56,0.92,0.82,0.44,0.0,0.05,0.05,0.21,74.19,70.62,95.4,46.07,47.81,34.62,,50.06,41.01,Fullback
16,186,Defender,Bundesliga,M. Friedrich,Borussia M'gladbach,31,991,1,7.0,2,0,0.45,0.45,0.44,15,57,5,34,0,55,704,623,69,0,2,3,0.0,0.0,0.09,1,0.09,0.64,0.18,4.99,63.94,56.58,6.27,0.0,0.18,0.27,1.36,5.18,0.45,3.09,0.0,0.0,0.04,0.04,0.04,88.49,60.83,57.54,59.55,44.39,78.96,,58.2,66.43,Centerback
17,187,Defender,Bundesliga,N. Elvedi,Borussia M'gladbach,27,2136,1,12.0,4,1,2.04,2.17,0.31,38,159,30,52,1,98,1517,1399,82,1,1,5,0.0,0.04,0.04,2,0.08,0.51,0.17,4.13,63.92,58.95,3.46,0.04,0.04,0.21,1.6,6.7,1.26,2.19,0.04,0.0,0.09,0.09,0.01,92.22,82.48,31.17,61.03,73.78,59.26,,63.77,85.13,Centerback
18,188,Defender,Bundesliga,D. Vavro,VfL Wolfsburg,31,2462,0,25.0,7,2,1.36,1.37,0.53,21,231,36,81,6,109,1474,1290,253,8,0,7,0.0,0.07,0.0,2,0.07,0.91,0.26,3.98,53.88,47.16,9.25,0.29,0.0,0.26,0.77,8.44,1.32,2.96,0.22,0.0,0.05,0.05,0.02,87.52,71.18,34.16,69.81,65.76,66.28,,63.81,85.37,Centerback
19,189,Defender,Bundesliga,L. Klostermann,RB Leipzig,31,1837,0,4.0,2,1,0.34,0.34,0.64,27,138,24,21,1,58,1171,1049,84,11,0,2,0.0,0.05,0.0,1,0.05,0.2,0.1,2.84,57.37,51.39,4.12,0.54,0.0,0.1,1.32,6.76,1.18,1.03,0.05,0.0,0.02,0.02,0.03,89.58,39.36,35.96,64.79,67.12,26.26,,51.93,46.4,Centerback
20,190,Defender,Bundesliga,B. Henrichs,RB Leipzig,15,940,2,11.0,1,0,0.47,0.47,2.03,32,27,15,9,5,58,399,306,45,19,4,11,0.0,0.0,0.19,2,0.19,1.05,0.1,5.55,38.2,29.3,4.31,1.82,0.38,1.05,3.06,2.59,1.44,0.86,0.48,0.0,0.05,0.05,0.19,76.69,60.68,93.38,39.12,68.71,47.47,,59.55,71.58,Fullback
22,192,Defender,Bundesliga,K. Laimer,FC Bayern München,33,1704,2,18.0,6,2,2.11,2.11,3.14,49,20,8,15,4,93,1099,976,19,21,3,20,0.0,0.11,0.11,4,0.21,0.95,0.32,4.91,58.05,51.55,1.0,1.11,0.16,1.06,2.59,1.06,0.42,0.79,0.21,0.0,0.11,0.11,0.17,88.81,92.45,89.52,57.18,35.58,39.9,,49.22,38.61,Fullback
24,194,Defender,Bundesliga,P. Lienhart,SC Freiburg,32,2771,0,8.0,1,1,0.46,0.46,0.93,22,119,36,57,1,102,2188,1916,264,9,1,7,0.0,0.03,0.0,1,0.03,0.26,0.03,3.31,71.06,62.23,8.57,0.29,0.03,0.23,0.71,3.87,1.17,1.85,0.03,0.0,0.02,0.02,0.03,87.57,34.65,44.24,69.51,48.27,46.25,,50.93,43.65,Centerback
25,195,Defender,Bundesliga,R. Bensebaini,Borussia Dortmund,31,2035,6,20.0,2,1,1.27,1.27,2.29,51,79,33,41,11,121,1308,1142,105,36,6,15,0.0,0.04,0.27,7,0.31,0.88,0.09,5.35,57.85,50.51,4.64,1.59,0.27,0.66,2.26,3.49,1.46,1.81,0.49,0.0,0.06,0.06,0.1,87.31,66.09,82.08,63.71,71.09,65.76,,69.13,95.32,Fullback
26,196,Defender,Bundesliga,R. Koch,Eintracht Frankfurt,30,2589,0,15.0,6,3,1.74,1.74,0.44,24,194,25,107,5,140,1793,1628,155,1,0,7,0.0,0.1,0.0,3,0.1,0.52,0.21,4.87,62.33,56.59,5.39,0.03,0.0,0.24,0.83,6.74,0.87,3.72,0.17,0.0,0.06,0.06,0.02,90.8,75.31,33.41,66.02,51.88,80.66,,61.23,78.18,Centerback
27,197,Defender,Bundesliga,M. Mittelstädt,VfB Stuttgart,32,2475,7,21.0,4,1,0.88,0.88,7.04,79,91,46,25,5,162,1639,1432,126,164,10,48,0.0,0.04,0.25,8,0.29,0.76,0.15,5.89,59.6,52.07,4.58,5.96,0.36,1.75,2.87,3.31,1.67,0.91,0.18,0.0,0.03,0.03,0.26,87.37,51.05,97.45,70.68,76.85,51.12,,69.95,96.04,Fullback
29,199,Defender,Bundesliga,J. Juranović,1. FC Union Berlin,18,1168,0,6.0,2,0,0.29,0.29,2.71,21,36,7,4,0,42,386,276,67,78,3,27,0.0,0.0,0.0,0,0.0,0.46,0.15,3.24,29.74,21.27,5.16,6.01,0.23,2.08,1.62,2.77,0.54,0.31,0.0,0.0,0.02,0.02,0.21,71.5,43.24,95.57,45.43,35.13,15.5,,38.73,14.51,Fullback
30,200,Defender,Bundesliga,A. Hanche-Olsen,1. FSV Mainz 05,28,1279,1,12.0,2,1,0.83,0.81,0.59,21,85,12,50,4,80,621,518,83,1,1,3,0.0,0.07,0.07,2,0.14,0.84,0.14,5.63,43.7,36.45,5.84,0.07,0.07,0.21,1.48,5.98,0.84,3.52,0.28,0.0,0.06,0.06,0.04,83.41,69.83,51.09,47.06,57.6,87.46,,62.92,82.85,Centerback
31,201,Defender,Bundesliga,D. Upamecano,FC Bayern München,22,1761,0,13.0,6,2,1.21,1.21,1.2,36,45,34,60,2,109,1908,1795,101,6,1,7,0.0,0.1,0.0,2,0.1,0.66,0.31,5.57,97.51,91.74,5.16,0.31,0.05,0.36,1.84,2.3,1.74,3.07,0.1,0.0,0.06,0.06,0.06,94.08,79.02,61.17,75.63,59.63,84.29,,70.12,96.52,Centerback
32,202,Defender,Bundesliga,C. Zesiger,VfL Wolfsburg,31,1748,2,12.0,3,0,1.26,1.26,1.23,26,121,24,30,3,72,776,620,121,16,5,8,0.0,0.0,0.1,2,0.1,0.62,0.15,3.71,39.95,31.92,6.23,0.82,0.26,0.41,1.34,6.23,1.24,1.54,0.15,0.0,0.06,0.06,0.06,79.9,70.69,69.24,47.99,68.04,42.75,,57.96,65.47,Centerback
33,203,Defender,Bundesliga,W. Anton,Borussia Dortmund,29,1947,2,19.0,3,2,1.65,1.66,1.8,34,110,30,46,8,120,1780,1628,133,24,2,6,0.0,0.09,0.09,4,0.18,0.88,0.14,5.55,82.28,75.25,6.15,1.11,0.09,0.28,1.57,5.08,1.39,2.13,0.37,0.0,0.08,0.08,0.08,91.46,77.67,66.17,79.41,70.0,73.69,,72.81,98.32,Centerback
34,204,Defender,Bundesliga,J. Ryerson,Borussia Dortmund,29,2270,3,18.0,5,2,0.74,0.74,4.8,46,25,22,11,7,115,1169,1046,68,110,8,37,0.0,0.08,0.12,5,0.2,0.71,0.2,4.56,46.35,41.47,2.7,4.36,0.32,1.47,1.82,0.99,0.87,0.44,0.28,0.0,0.03,0.03,0.19,89.48,55.02,94.61,69.3,36.64,29.74,,48.16,36.09,Fullback
37,207,Defender,Bundesliga,Bernardo,TSG Hoffenheim,20,1691,0,7.0,1,0,0.66,0.64,1.65,46,99,25,89,2,148,926,691,204,14,0,5,0.0,0.0,0.0,0,0.0,0.37,0.05,7.88,49.28,36.78,10.86,0.75,0.0,0.27,2.45,5.27,1.33,4.74,0.11,0.0,0.04,0.03,0.09,74.62,50.72,58.98,46.01,79.82,97.05,,73.83,98.8,Centerback
38,208,Defender,Bundesliga,D. Doekhi,1. FC Union Berlin,33,2970,0,29.0,4,1,2.37,2.37,0.75,35,161,43,87,8,136,1169,921,189,9,3,11,0.0,0.03,0.0,1,0.03,0.88,0.12,4.12,35.42,27.91,5.73,0.27,0.09,0.33,1.06,4.88,1.3,2.64,0.24,0.0,0.07,0.07,0.02,78.79,72.87,45.22,41.34,59.88,65.34,,56.72,60.67,Centerback
39,209,Defender,Bundesliga,E. Mašović,VfL Bochum 1848,29,913,1,7.0,4,1,0.65,0.63,0.45,14,54,12,22,0,40,419,349,59,0,2,3,0.0,0.1,0.1,2,0.2,0.69,0.39,3.94,41.3,34.4,5.82,0.0,0.2,0.3,1.38,5.32,1.18,2.17,0.0,0.0,0.06,0.06,0.04,83.29,80.71,58.95,42.57,63.82,57.25,,58.28,66.67,Centerback
41,211,Defender,Bundesliga,J. Mæhle,VfL Wolfsburg,28,2190,4,18.0,7,3,2.03,2.03,3.06,34,49,25,17,3,86,1002,817,79,25,2,20,0.0,0.12,0.16,7,0.29,0.74,0.29,3.53,41.18,33.58,3.25,1.03,0.08,0.82,1.4,2.01,1.03,0.7,0.12,0.0,0.08,0.08,0.13,81.54,86.29,81.64,40.54,39.29,22.94,,42.04,19.66,Fullback
42,212,Defender,Bundesliga,M. Leitsch,1. FSV Mainz 05,28,677,0,6.0,1,1,1.2,1.2,0.17,12,41,10,19,1,35,352,280,42,3,0,2,0.0,0.13,0.0,1,0.13,0.8,0.13,4.65,46.79,37.22,5.58,0.4,0.0,0.27,1.6,5.45,1.33,2.53,0.13,0.0,0.16,0.16,0.02,79.55,85.29,34.45,43.45,71.24,69.94,,62.38,81.29,Centerback
43,213,Defender,Bundesliga,A. Davies,FC Bayern München,21,1561,2,17.0,3,1,1.24,1.24,2.24,30,21,13,9,8,96,1142,1040,18,22,2,27,0.0,0.06,0.12,3,0.17,0.98,0.17,5.53,65.84,59.96,1.04,1.27,0.12,1.56,1.73,1.21,0.75,0.52,0.46,0.0,0.07,0.07,0.13,91.07,77.11,87.56,63.13,32.52,41.02,,48.5,36.93,Fullback
44,214,Defender,Bundesliga,D. Leite,1. FC Union Berlin,29,2458,2,17.0,8,1,1.31,1.31,2.27,61,152,55,76,3,182,1270,996,228,7,2,12,0.0,0.04,0.07,3,0.11,0.62,0.29,6.66,46.5,36.47,8.35,0.26,0.07,0.44,2.23,5.57,2.01,2.78,0.11,0.0,0.05,0.05,0.08,78.43,72.31,69.22,46.34,85.43,87.09,,75.75,99.52,Centerback
45,215,Defender,Bundesliga,D. Raum,RB Leipzig,24,1788,5,9.0,4,1,0.49,0.5,7.41,38,42,9,13,3,72,841,661,88,188,8,49,0.0,0.05,0.25,6,0.3,0.45,0.2,3.62,42.33,33.27,4.43,9.46,0.4,2.47,1.91,2.11,0.45,0.65,0.15,0.0,0.02,0.02,0.37,78.6,47.22,98.94,49.42,32.51,23.24,,40.95,17.39,Fullback
47,217,Defender,Bundesliga,J. Chabot,VfB Stuttgart,31,2280,1,19.0,4,3,2.0,2.0,0.79,37,134,38,81,3,146,1939,1746,194,2,1,6,0.0,0.12,0.04,4,0.16,0.75,0.16,5.76,76.54,68.92,7.66,0.08,0.04,0.24,1.46,5.29,1.5,3.2,0.12,0.0,0.08,0.08,0.03,90.05,79.44,45.55,71.75,71.21,86.85,,73.07,98.44,Centerback
50,220,Defender,Bundesliga,E. Tapsoba,Bayer 04 Leverkusen,31,2511,0,21.0,2,0,1.14,1.14,1.31,39,86,24,54,6,110,1896,1651,198,8,0,4,0.0,0.0,0.0,0,0.0,0.75,0.07,3.94,67.96,59.18,7.1,0.29,0.0,0.14,1.4,3.08,0.86,1.94,0.22,0.0,0.04,0.04,0.05,87.08,52.0,45.04,65.77,41.89,53.15,,50.3,41.97,Centerback
51,221,Defender,Bundesliga,D. Köhn,1. FC Union Berlin,31,1360,2,13.0,4,2,0.76,0.75,2.0,20,21,10,9,6,62,560,468,30,58,2,16,0.0,0.13,0.13,4,0.26,0.86,0.26,4.1,37.06,30.97,1.99,3.84,0.13,1.06,1.32,1.39,0.66,0.6,0.4,0.0,0.05,0.05,0.13,83.57,71.18,86.03,49.22,24.35,26.93,,38.48,14.15,Fullback
52,222,Defender,Bundesliga,K. Schlotterbeck,FC Augsburg,28,1298,1,12.0,5,3,0.77,0.77,0.48,19,69,15,40,1,73,674,573,95,3,1,7,0.0,0.21,0.07,4,0.28,0.83,0.35,5.06,46.73,39.73,6.59,0.21,0.07,0.49,1.32,4.78,1.04,2.77,0.07,0.0,0.05,0.05,0.03,85.01,73.93,54.0,56.5,56.41,77.09,,62.24,80.7,Centerback
53,223,Defender,Bundesliga,M. Kim,FC Bayern München,30,2289,0,7.0,5,2,1.64,1.64,0.91,35,87,37,82,1,124,2524,2337,127,0,0,6,0.0,0.08,0.0,2,0.08,0.28,0.2,4.88,99.24,91.89,4.99,0.0,0.0,0.24,1.38,3.42,1.45,3.22,0.04,0.0,0.06,0.06,0.04,92.59,74.66,44.52,64.78,59.35,79.0,,64.63,87.29,Centerback
54,224,Defender,Bundesliga,S. N'Soki,1. FC Union Berlin,30,1324,0,3.0,1,0,0.1,0.1,0.42,22,52,26,22,0,61,812,703,76,1,0,7,0.0,0.0,0.0,0,0.0,0.2,0.07,4.15,55.2,47.79,5.17,0.07,0.0,0.48,1.5,3.53,1.77,1.5,0.0,0.0,0.01,0.01,0.03,86.58,29.75,46.09,53.78,65.15,46.44,,54.52,54.2,Centerback
55,225,Defender,Bundesliga,J. Vagnoman,VfB Stuttgart,28,1835,1,15.0,7,1,1.47,1.47,2.18,26,51,14,23,2,76,749,617,50,43,4,22,0.0,0.05,0.05,2,0.1,0.74,0.34,3.73,36.74,30.26,2.45,2.11,0.2,1.08,1.28,2.5,0.69,1.13,0.1,0.0,0.07,0.07,0.11,82.38,84.43,86.03,44.17,29.84,33.79,,42.04,19.78,Fullback
56,226,Defender,Bundesliga,R. Hendriks,VfB Stuttgart,33,1166,1,5.0,1,0,0.43,0.55,1.52,20,58,19,30,3,68,615,536,48,12,2,6,0.0,0.0,0.08,1,0.08,0.39,0.08,5.25,47.47,41.37,3.7,0.93,0.15,0.46,1.54,4.48,1.47,2.32,0.23,0.0,0.03,0.04,0.12,87.15,45.71,79.01,57.43,67.84,74.22,,67.37,93.17,Centerback
57,227,Defender,Bundesliga,M. Jenz,VfL Wolfsburg,23,1606,0,10.0,5,0,1.55,1.55,0.35,36,125,30,75,0,118,843,711,94,0,1,3,0.0,0.0,0.0,0,0.0,0.56,0.28,6.61,47.24,39.84,5.27,0.0,0.06,0.17,2.02,7.0,1.68,4.2,0.0,0.0,0.09,0.09,0.02,84.34,88.09,38.27,43.41,85.56,93.57,,74.53,99.04,Centerback
58,228,Defender,Bundesliga,R. Kristensen,Eintracht Frankfurt,30,2515,3,24.0,8,5,2.5,2.5,4.84,59,89,20,44,8,137,1358,1077,131,59,6,22,0.0,0.18,0.11,8,0.29,0.86,0.29,4.9,48.6,38.54,4.69,2.11,0.21,0.79,2.11,3.18,0.72,1.57,0.29,0.0,0.09,0.09,0.17,79.31,88.47,88.33,46.03,47.93,57.29,,55.96,58.39,Fullback
59,229,Defender,Bundesliga,J. Stanišić,FC Bayern München,16,885,2,2.0,0,0,0.26,0.26,1.36,13,28,6,11,0,33,729,673,46,11,4,14,0.0,0.0,0.2,2,0.2,0.2,0.0,3.36,74.14,68.44,4.68,1.12,0.41,1.42,1.32,2.85,0.61,1.12,0.0,0.0,0.03,0.03,0.14,92.32,37.61,92.28,75.28,32.24,30.74,,46.75,31.65,Fullback
60,230,Defender,Bundesliga,M. Bauer,Arminia Bielefeld,18,656,0,1.0,1,0,0.18,0.18,0.11,14,35,6,21,0,46,331,271,47,4,0,2,0.0,0.0,0.0,0,0.0,0.14,0.14,6.31,45.41,37.18,6.45,0.55,0.0,0.27,1.92,4.8,0.82,2.88,0.0,0.0,0.02,0.02,0.02,81.87,42.38,34.45,52.1,58.18,86.53,,60.89,76.62,Centerback
61,231,Defender,Bundesliga,N. Schlotterbeck,Borussia Dortmund,23,1984,4,17.0,4,0,1.33,1.33,2.08,38,78,22,53,5,123,2034,1823,218,14,5,18,0.0,0.0,0.18,4,0.18,0.77,0.18,5.58,92.27,82.7,9.89,0.64,0.23,0.82,1.72,3.54,1.0,2.4,0.23,0.0,0.06,0.06,0.09,89.63,73.33,81.37,79.17,54.5,78.27,,69.01,95.08,Centerback
62,232,Defender,Bundesliga,V. Gendrey,TSG Hoffenheim,24,1416,1,10.0,5,1,1.1,1.1,2.67,30,48,15,26,1,86,471,358,38,51,2,17,0.0,0.06,0.06,2,0.13,0.64,0.32,5.47,29.94,22.75,2.42,3.24,0.13,1.08,1.91,3.05,0.95,1.65,0.06,0.0,0.07,0.07,0.17,76.01,83.93,88.86,35.24,51.29,64.16,,56.69,60.43,Fullback
66,236,Defender,Bundesliga,A. Theate,Eintracht Frankfurt,31,2709,0,36.0,9,0,2.4,2.4,1.47,36,165,39,54,6,123,1735,1465,227,26,3,14,0.0,0.0,0.0,0,0.0,1.2,0.3,4.09,57.64,48.67,7.54,0.86,0.1,0.47,1.2,5.48,1.3,1.79,0.2,0.0,0.08,0.08,0.05,84.44,86.59,63.37,61.72,64.32,51.59,,61.64,79.62,Centerback
67,237,Defender,Bundesliga,C. Lukeba,RB Leipzig,24,1577,0,4.0,1,0,0.4,0.4,0.54,31,68,17,26,0,92,1171,1013,84,11,0,4,0.0,0.0,0.0,0,0.0,0.23,0.06,5.25,66.83,57.81,4.79,0.63,0.0,0.23,1.77,3.88,0.97,1.48,0.0,0.0,0.02,0.02,0.03,86.51,36.35,39.21,58.41,55.79,58.25,,54.3,53.36,Centerback
69,239,Defender,Bundesliga,K. Fischer,VfL Wolfsburg,32,2306,0,6.0,1,1,0.33,0.33,0.94,64,90,19,22,3,101,963,785,96,39,0,12,0.0,0.04,0.0,1,0.04,0.23,0.04,3.94,37.58,30.64,3.75,1.52,0.0,0.47,2.5,3.51,0.74,0.86,0.12,0.0,0.01,0.01,0.04,81.52,27.83,50.59,44.12,54.84,30.35,,44.8,26.98,Fullback
71,241,Defender,Bundesliga,J. Scally,Borussia M'gladbach,33,2586,0,6.0,1,0,0.38,0.38,1.29,45,81,16,24,3,148,1269,1075,117,50,2,11,0.0,0.0,0.0,0,0.0,0.21,0.03,5.15,44.16,37.41,4.07,1.74,0.07,0.38,1.57,2.82,0.56,0.84,0.1,0.0,0.01,0.01,0.04,84.71,27.34,56.48,53.88,35.17,43.67,,42.78,21.82,Fullback
72,242,Defender,Bundesliga,E. Chadaille Bitshiabu,RB Leipzig,28,1130,0,5.0,3,0,0.28,0.28,0.59,27,94,13,22,0,53,853,728,100,4,0,5,0.0,0.0,0.0,0,0.0,0.4,0.24,4.22,67.94,57.98,7.96,0.32,0.0,0.4,2.15,7.49,1.04,1.75,0.0,0.0,0.02,0.02,0.05,85.35,49.3,52.61,61.5,75.64,52.84,,63.49,84.29,Centerback
73,243,Defender,Bundesliga,N. Collins,Eintracht Frankfurt,31,1489,1,5.0,2,1,0.79,0.79,1.23,33,69,16,13,0,80,810,717,55,17,1,2,0.0,0.06,0.06,2,0.12,0.3,0.12,4.84,48.96,43.34,3.32,1.03,0.06,0.12,1.99,4.17,0.97,0.79,0.0,0.0,0.05,0.05,0.07,88.52,62.08,57.64,60.49,60.05,38.68,,54.66,54.56,Centerback
75,245,Defender,Bundesliga,L. Ullrich,Borussia M'gladbach,29,1916,2,8.0,2,1,0.87,0.88,1.9,25,65,23,14,2,64,671,521,93,47,3,8,0.0,0.05,0.09,3,0.14,0.38,0.09,3.01,31.52,24.47,4.37,2.21,0.14,0.38,1.17,3.05,1.08,0.66,0.09,0.0,0.04,0.04,0.09,77.65,53.58,73.2,42.04,45.02,19.57,,41.31,18.82,Fullback
76,246,Defender,Bundesliga,L. Querfeld,1. FC Union Berlin,32,1750,2,16.0,4,2,1.14,1.14,1.23,25,139,19,67,5,106,796,648,171,0,2,10,0.0,0.1,0.1,4,0.21,0.82,0.21,5.45,40.94,33.33,8.79,0.0,0.1,0.51,1.29,7.15,0.98,3.45,0.26,0.0,0.06,0.06,0.06,81.41,75.31,67.27,44.54,61.67,85.35,,65.41,89.69,Centerback
78,248,Defender,Bundesliga,A. Chaves,FC Augsburg,28,2191,0,10.0,2,1,0.81,0.81,0.35,51,131,37,70,3,140,1152,955,132,8,0,5,0.0,0.04,0.0,1,0.04,0.41,0.08,5.75,47.32,39.23,5.42,0.33,0.0,0.21,2.09,5.38,1.52,2.88,0.12,0.0,0.03,0.03,0.01,82.9,45.71,25.33,48.86,79.83,84.18,,67.57,93.53,Centerback
